antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'hourEnc_0.0', 'count_1_day_3.0'})",frozenset({'amt_0.0'}),0.12609867545838394,0.9986658183430698,0.12590510343763858,0.9984649163043015,0.9997988295633251,-2.5333480985573198e-05,0.8691263288566795,-0.00023019143201247568
"frozenset({'amt_0.0', 'count_1_day_3.0'})",frozenset({'hourEnc_0.0'}),0.17006497387548924,0.7325891221778781,0.12590510343763858,0.7403352999061306,1.0105737001734674,0.0013173535129901437,1.0298314623645501,0.012607091534196172
frozenset({'count_1_day_3.0'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.17030790290550832,0.7315634218289085,0.12590510343763858,0.7392792776474637,1.0105470771068152,0.001314071223579405,1.029594332774677,0.012579362064754556
"frozenset({'hourEnc_0.0', 'count_7_days_3.0'})",frozenset({'amt_0.0'}),0.1098270576667245,0.9986658183430698,0.10968824107814217,0.9987360438171476,1.0000703192927884,7.712657191225047e-06,1.0555600542412715,7.898953673979417e-05
"frozenset({'amt_0.0', 'count_7_days_3.0'})",frozenset({'hourEnc_0.0'}),0.15167408949813946,0.7325891221778781,0.10968824107814217,0.7231837780670355,0.9871615018212638,-0.0014265470044287354,0.966023146890863,-0.015099262814073037
frozenset({'count_7_days_3.0'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.15186766151888484,0.7315634218289085,0.10968824107814217,0.722262000883594,0.9872855576594289,-0.0014125850477676866,0.9665100887350453,-0.014957054459200694
"frozenset({'count_7_days_5.0', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.10468004704339946,0.9986658183430698,0.10453891684500742,0.9986517946602228,0.9999859575820166,-1.4679997801525513e-06,0.9895982589348794,-1.5684219794270543e-05
"frozenset({'count_7_days_5.0', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.1424227350723967,0.7325891221778781,0.10453891684500742,0.734004418549243,1.0019319101642643,0.0002015703801478419,1.0053207514337112,0.002248409750070784
frozenset({'count_7_days_5.0'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.14260011182447413,0.7315634218289085,0.10453891684500742,0.7330914086076169,1.0020886593467022,0.0002178910855101246,1.0057247568193188,0.002430961293977987
"frozenset({'time_diff_0.0', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.1380361308731949,0.9986658183430698,0.1377893458268263,0.9982121706483116,0.9995457462482186,-6.2619772563971e-05,0.7462578325331924,-0.0005269602657768952
"frozenset({'time_diff_0.0', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.18483814371372934,0.7325891221778781,0.1377893458268263,0.7454594763742569,1.0175683119046557,0.0023789323785968486,1.0505630852527923,0.021179836805182817
frozenset({'time_diff_0.0'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.1851566506641988,0.7315634218289085,0.1377893458268263,0.7441771350504816,1.0172421321859406,0.0023355128925451607,1.0493064340596063,0.02080139713519292
"frozenset({'time_diff_1.0', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.10041992018046157,0.9986658183430698,0.1002733915591802,0.9985408410899148,0.9998748557817245,-1.2550205786193702e-05,0.9143497995378235,-0.0001391120955931838
"frozenset({'time_diff_1.0', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.13668112672797733,0.7325891221778781,0.1002733915591802,0.7336301211413353,1.0014209861052297,0.00014228491124798626,1.003908095644739,0.0016436218561125522
frozenset({'time_diff_1.0'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.1368770123585324,0.7315634218289085,0.1002733915591802,0.7325802180465955,1.001389894829822,0.00013917602845445187,1.0038022475759256,0.0016080740790598322
"frozenset({'gender_F', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.4038375074710317,0.9986658183430698,0.40324368095320723,0.9985295409494199,0.9998635405446479,-5.5033922976177596e-05,0.9073232310712132,-0.00022887525520495498
"frozenset({'gender_F', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.5466689802764764,0.7325891221778781,0.40324368095320723,0.7376377579522947,1.0068914970500897,0.002759932570587653,1.0192429967628445,0.015097862437409031
frozenset({'gender_F'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.5474486667823472,0.7315634218289085,0.40324368095320723,0.7365872006288537,1.0068671815047638,0.002750261006239374,1.0190718856940082,0.015070875848534292
"frozenset({'gender_M', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.3287516147068464,0.9986658183430698,0.3283197408757013,0.9986863217948597,1.000020530843665,6.740542883021394e-06,1.0156076668621858,3.058543246871238e-05
"frozenset({'gender_M', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.4519968380665934,0.7325891221778781,0.3283197408757013,0.7263761894443374,0.9915192124132685,-0.002808225950680865,0.977293888565751,-0.015368299012723961
frozenset({'gender_M'}),"frozenset({'hourEnc_0.0', 'amt_0.0'})",0.45255133321765284,0.7315634218289085,0.3283197408757013,0.7254861863765567,0.9916928112163417,-0.002750261006239374,0.9778618227908629,-0.015070875848534292
"frozenset({'gender_F', 'hourEnc_21.0'})",frozenset({'amt_0.0'}),0.1436111593113155,0.9986658183430698,0.14342529932326914,0.9987058109624792,1.0000400460481123,5.743386437301323e-06,1.0309016830231148,4.6759652377555674e-05
"frozenset({'gender_M', 'hourEnc_21.0'})",frozenset({'amt_0.0'}),0.12379971851080648,0.9986658183430698,0.1236770971908921,0.9990095185886575,1.0003441594167686,4.254999365585488e-05,1.347003226564208,0.0003926511085227331
"frozenset({'gender_F', 'count_1_day_0.0'})",frozenset({'amt_0.0'}),0.11041779937146934,0.9986658183430698,0.1102797539861569,0.9987497904676761,1.000084084308348,9.272017207573313e-06,1.067166440852698,9.451317563711258e-05
"frozenset({'gender_M', 'count_1_day_0.0'})",frozenset({'amt_0.0'}),0.11658125590452503,0.9986658183430698,0.11645786338134073,0.9989415749364945,1.0002761249943273,3.214804998540044e-05,1.2605348294676688,0.0003124778279915328
"frozenset({'count_1_day_1.0', 'gender_F'})",frozenset({'amt_0.0'}),0.15996915186920393,0.9986658183430698,0.15974164690458287,0.998577819773608,0.9999118838676108,-1.4077056522482367e-05,0.9381241787582828,-0.00010489454524924967
"frozenset({'count_1_day_1.0', 'gender_M'})",frozenset({'amt_0.0'}),0.14926022326334665,0.9986658183430698,0.1490820753079993,0.9988064606132001,1.0001408301631507,2.0992296639932295e-05,1.1178363040933406,0.00016551516299007627
"frozenset({'gender_F', 'time_diff_0.0'})",frozenset({'amt_0.0'}),0.10866716794879211,0.9986658183430698,0.1084604854724584,0.9980980227953387,0.9994314458978147,-6.170073414588084e-05,0.7014708975798586,-0.0006378253721534491
"frozenset({'count_1_day_1.0', 'gender_F'})",frozenset({'hourEnc_0.0'}),0.15996915186920393,0.7325891221778781,0.11755065841479168,0.7348332915517672,1.0030633397438629,0.00035899787139190287,1.008463239548517,0.003635562145146644
"frozenset({'count_1_day_1.0', 'gender_M'})",frozenset({'hourEnc_0.0'}),0.14926022326334665,0.7325891221778781,0.10822603967840824,0.7250829277366153,0.9897538822048736,-0.001120376258160971,0.9726965139725064,-0.012022162507132431
"frozenset({'count_1_day_1.0', 'gender_F', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.11755065841479168,0.9986658183430698,0.11738253610195307,0.9985697884205347,0.9999038417849382,-1.1288380621518601e-05,0.9328561424659968,-0.00010896600953425753
"frozenset({'count_1_day_1.0', 'gender_F', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.15974164690458287,0.7325891221778781,0.11738253610195307,0.73482738144091,1.0030552723146884,0.00035754322087615253,1.0084407631345735,0.003625035142698718
"frozenset({'count_1_day_1.0', 'gender_F'})","frozenset({'hourEnc_0.0', 'amt_0.0'})",0.15996915186920393,0.7315634218289085,0.11738253610195307,0.7337823244692133,1.0030330967542875,0.00035495597344989416,1.0083349185431836,0.0035997783941202977
"frozenset({'count_1_day_1.0', 'gender_M', 'hourEnc_0.0'})",frozenset({'amt_0.0'}),0.10822603967840824,0.9986658183430698,0.10809030790290551,0.9987458491883648,1.0000801377636293,8.661421438405092e-06,1.0638127763843017,8.985611337420446e-05
"frozenset({'count_1_day_1.0', 'gender_M', 'amt_0.0'})",frozenset({'hourEnc_0.0'}),0.1490820753079993,0.7325891221778781,0.10809030790290551,0.7250389269105224,0.9896938201253793,-0.0011255987794380057,0.9725408575747786,-0.012090007370344128
"frozenset({'count_1_day_1.0', 'gender_M'})","frozenset({'hourEnc_0.0', 'amt_0.0'})",0.14926022326334665,0.7315634218289085,0.10809030790290551,0.7241735643942916,0.9898985416518744,-0.0011030117705752157,0.9732083060915137,-0.011852728320685747
